emp_no,first_name,last_name,salary
484736,Radhakrishnan,Stamatiou,99120
456719,Basem,Shumilov,99039
487743,Chanjung,Kavvadias,98960
265813,Elliott,Businaro,98944
460853,Guther,Stasinski,98931
481415,Mokhtar,Kaltofen,98904
16373,Narain,Aseltine,98832
292322,Adamantios,Colorni,98832
468285,Yefim,Nollmann,98812
210485,Mitchel,Codenie,98803
483158,Sumant,Weisert,98793
43709,Mohua,Munck,98736
19874,Xuejia,Kuzuoka,98732
439185,Rosalyn,Yurek,98679
461703,Toshimi,Raczkowsky,98673
237196,Abdelkader,England,98658
259194,Sandeepan,Merli,98624
24225,Shugo,Eiter,98584
20728,Billie,Sessa,98529
250554,Sachio,Plesums,98525
286195,Karlis,Hofting,98427
15176,Charlene,Sankaranarayanan,98401
239414,Sverrir,Renear,98361
85017,Falguni,Swiler,98339
23834,Bedir,Harllee,98291
485500,Kristian,Kroon,98277
90306,Gully,Cangellaris,98223
226782,Jaber,Beerel,98193
102372,Maik,Jahnichen,98186
408551,Abdulah,Schiper,98178
295374,Georgy,Mundy,98173
408621,Masaru,Jiang,98143
104931,Kristin,Delaune,98125
294097,Kazunori,Cummings,98121
73336,Zhongwei,Molenkamp,98099
50478,Leni,Benzmuller,98084
274468,Gaurav,Gurbaxani,98011
265501,Paraskevi,Cromarty,97944
442752,Vugranam,Luft,97935
414088,Khun,Marakhovsky,97912
241926,Matk,Debuse,97901
63005,Barna,Ranum,97874
239139,Kristinn,Varman,97856
212040,Bangqing,Lunt,97847
440088,Serge,Denny,97760
454932,Sampalli,Zaiane,97754
56125,Heon,Thombley,97722
278764,Koichi,Lueh,97697
419748,Jixiang,Rindone,97675
422698,Lobel,Maraist,97610
12411,Shao,Ibel,97610
226325,Leni,Avouris,97594
58620,Toshimori,Rosenbaum,97587
268312,Tsvetan,Kaiser,97585
444553,Nikolaus,Gluchowski,97585
93928,Tomoyuki,Axelband,97546
42936,Chuanti,Nitsche,97540
460033,Paris,Ariola,97537
15071,Ayonca,Couchot,97484
449023,Jinpo,Kuhnemann,97470
244323,Zhongwei,Emmerich,97456
470905,Tesuro,Goodrum,97430
265435,Aleksander,Garnham,97399
51639,Abdelaziz,Czap,97345
59434,Saddek,Smailagic,97328
491099,Jovan,Iacovou,97289
250499,Arif,Aseltine,97241
461328,Mohit,McAffer,97207
468175,Girolamo,Ranft,97184
272685,Emdad,Trachtenberg,97175
469678,Dmitry,Clemencon,97164
81201,Werner,Knightly,97128
233547,Masali,Dichev,97112
292643,Chriss,Eiter,97079
405108,Kazuhisa,Rijsenbrij,97052
50274,Horward,Boudaillier,97022
400252,Nalini,Collette,97020
265857,Make,Conti,96997
232801,Krassimir,Legleitner,96995
79509,Vitaly,Akiyama,96991
425932,Saeed,Piancastelli,96942
412305,Tetsurou,Coombs,96939
474200,Masako,Sabnani,96922
259223,Apostol,Vakili,96916
260700,Eishiro,Taubenfeld,96900
284109,Irena,Seuren,96893
298802,Shan,Muchinsky,96892
33008,Keiichiro,Birnbaum,96870
43716,Odysseas,Felder,96835
57612,Raimond,Rousseau,96828
219778,Chuanti,Ishibashi,96826
217173,Torsten,Krichel,96811
492323,Houman,Stanfel,96794
428198,Behnaam,Thibadeau,96792
23677,Rafael,Sevcikova,96782
474728,Kousuke,Fandrianto,96736
252189,Margo,Gomatam,96694
74215,Tooru,Qiwen,96657
299642,Chaosheng,Bratsberg,96654
272324,Toshiko,Feinberg,96619
292624,Huiqun,Jiang,96574
61124,Nechama,Waymire,96529
444223,Krisda,Ramsay,96459
497538,Zhiwei,Kuhnemann,96427
228576,Owen,Motley,96377
259609,Kristian,Prochazka,96362
406293,Rosita,Gurbaxani,96325
62695,Guangming,Jenevein,96321
61751,IEEE,Garrabrants,96278
446565,Phule,Passafiume,96249
207894,Tzu,Papadias,96243
460723,Christfried,Pollock,96209
271980,Shigenori,Angel,96207
291380,Mohammed,Miara,96182
264435,Ung,Sudkamp,96179
233250,Jayson,Hoogerwoord,96162
48534,Mountaz,Bultermann,96140
287364,Qingxiang,Conta,96097
244847,Tetsushi,Maierhofer,96074
228711,Udo,Velardi,96072
214682,Jaroslava,Neimat,96068
421180,Pranay,Lindenbaum,96054
217649,Lidong,Potthoff,96052
11537,DAIDA,Pehl,96023
11146,Ishfaq,Masand,96019
243785,Takahiro,Veldwijk,96006
287796,Youssef,Tsukune,95998
108023,Marke,Yetto,95998
212117,Gill,Hutter,95988
29822,Prodip,Sifakis,95987
474793,Arunachalam,Srimani,95981
493285,Gennady,Syrzycki,95907
50204,Mayuko,Beutelspacher,95855
271319,Hideo,Rosin,95814
58226,Ayonca,Gill,95796
491420,Hauke,Diderrich,95785
248572,Filipp,Fetvedt,95759
41074,Leen,Siochi,95738
473622,Iara,Schapiro,95718
57821,Alejandra,Bolotov,95710
74571,Atilio,Viele,95687
292173,Volkmar,Preusig,95687
80270,Fen,Jonsson,95653
407951,Youngkon,Olano,95651
242097,Zhongwei,Whitcomb,95638
483472,Gita,Pesch,95637
285829,Jeanne,Henders,95621
70132,Gal,Manders,95614
264013,Baziley,Stifter,95604
38320,Fox,Rabejac,95596
446611,Moto,Garigliano,95595
86754,Guadalupe,Vigier,95574
79538,Elvis,Melton,95563
243470,Paloma,Tyugu,95563
68845,Danny,Cusworth,95538
222180,Maia,Feinberg,95537
43222,Lenore,Angelopoulos,95505
108390,Udi,Delaune,95505
269918,Stella,Pelc,95504
256466,Constantine,Brodie,95493
279770,Chenyi,Brickell,95481
42333,Woody,Hainaut,95443
86549,Ute,Itzfeldt,95410
269923,Sanjiv,Vadhan,95408
465609,Insup,England,95395
23998,Amabile,Neimat,95371
478678,Mario,Sethi,95366
77173,Sachem,Merey,95344
472295,Sastry,Molberg,95320
418125,Khun,Baar,95306
266239,Henk,Schaar,95252
31363,Hidde,Merli,95246
53464,Odoardo,Andreotta,95242
424946,Gian,Benzmuller,95204
58286,Yechiam,Poujol,95200
261362,Zdislav,Emiris,95193
456766,Odoardo,Kisuki,95186
100534,Aamer,Luga,95161
407125,Gila,Taneja,95142
448610,Parke,Laventhal,95131
264125,Arnould,Thibadeau,95123
64791,Dinkar,Gerteisen,95024
81358,Premal,Quadeer,95018
224364,Jouko,Nitto,95003
402073,Moss,Camurati,94998
43745,Temple,Thambidurai,94985
45639,Yuichiro,Brendel,94983
34482,Jouko,Lortz,94971
58991,Annemarie,Schaap,94957
69578,Shim,Sewelson,94930
422338,Sachem,Rindone,94929
401522,Richard,Stifter,94902
59414,Yuping,Kolvik,94867
269286,Sorina,Lamba,94824
96308,Nigel,Aingworth,94821
268569,Remmert,Sifakis,94816
415773,Martien,Hartvigsen,94814
271403,Baocai,Kuzuoka,94810
11857,Divier,Farrag,94805
14275,Tristan,Aseltine,94782
108307,Diederik,Suermann,94766
266275,Greger,Rosch,94725
249852,Ziya,Schade,94722
279451,Pasqua,Qiwen,94698
11813,Gita,Muhlberg,94687
50517,Weidon,Snedden,94684
38019,Charlene,Yoshimura,94643
213144,Patricio,Luon,94603
16446,Jouko,Chinin,94600
287845,Vojin,Farrar,94596
68890,Mantis,Baer,94575
95601,Vincent,Guting,94574
69665,Uzi,Fioravanti,94554
405955,Owen,Kaelbling,94546
291480,Kish,Fabrizio,94536
56350,Boguslaw,Ariola,94476
104870,Nectarios,Peltason,94450
223703,Kokou,Bottner,94441
45803,Padma,Lanzelotte,94436
278619,Malu,Denis,94424
447092,Inderjeet,Lorho,94407
94871,Kasidit,Chenney,94395
109824,Aleksander,Luit,94388
108842,Giordano,Heijenga,94385
44963,Amabile,Gimbel,94383
216294,Keiichiro,Kalefeld,94349
209752,Amabile,Gulak,94327
499275,Shridhar,Zlotek,94324
41251,Arne,Glinert,94297
268885,Gila,Portugali,94252
413160,Tadanori,Felcyn,94214
41410,Kwangho,Munch,94193
293693,Tokuyasu,Baumann,94177
454067,Uma,Lindenbaum,94175
237794,Fei,Morrin,94146
268659,Pradeep,Weedon,94126
447213,Adas,Warwick,94124
296800,Remmert,Haraldson,94110
469217,Kazuhira,Milicic,94107
497001,Radhika,Kaiser,94101
63516,Toshimitsu,Steinauer,94093
203405,Alper,Giaccio,94090
98485,Chiradeep,Homond,94046
30834,Van,Erdi,94027
453183,Maha,Ventosa,94005
201109,Gita,Hertweck,93983
205207,Ramalingam,Borstler,93909
19052,Perla,Denna,93907
86023,Yuqun,Braunschweig,93898
94658,Basil,Kaelbling,93862
461915,Alejandro,Sambasivam,93843
29487,Shahid,Erdi,93841
263243,Amstein,Giveon,93759
442910,Hatim,Ellozy,93753
428282,Yifei,Ranon,93753
211430,Udo,Gyimothy,93749
454612,Gor,Pell,93727
470047,Heeju,Bridgland,93703
38117,Stevo,Hiraishi,93702
453716,Kiyomitsu,Tsukuda,93690
19205,Moto,Sinitsyn,93690
437024,Ioana,Jullig,93688
271997,Werner,Koshiba,93683
21135,KayLiang,Alpay,93668
417042,Basem,Eickenmeyer,93661
260018,Fumiyo,Cherinka,93653
280370,Mayuko,Vesel,93615
63836,Hitofumi,Petersohn,93576
80258,Hirochika,Hiyoshi,93572
49266,Valeri,Portugali,93564
244283,Inderjeet,Manderick,93563
483428,Owen,Boreale,93563
88340,Gad,Fiutem,93555
485487,Goetz,Roohalamini,93536
425345,Michaela,Georgatos,93533
413337,Moty,Schaft,93508
283225,Ult,Duclos,93501
290589,Jouni,Chleq,93485
402900,LiMin,Choobineh,93471
242963,Yuguang,Jenevein,93468
267257,Somnath,Sidhu,93465
258138,Rimli,Bellone,93439
407594,Carrsten,Cannard,93437
215576,Takushi,Anger,93415
256792,Kerryn,Merli,93413
51995,Zhongwei,Roccetti,93409
428020,Toshimitsu,Tiemann,93362
416924,Vishwani,Ambroszkiewicz,93361
411900,Mari,Wynblatt,93358
477312,Fay,Ramalingam,93351
241965,Aimee,Kornatzky,93324
477142,Mrinalini,Stenning,93323
462760,Chenye,Baja,93317
412560,Mari,Barinka,93313
475448,Ingemar,Lorys,93307
277554,Jianhao,Perry,93272
489988,Girolamo,Henders,93234
65966,Jessie,Macedo,93229
70901,Yonghoan,Knightly,93217
409028,Steve,Hebden,93209
488068,Abdelghani,Sabnani,93207
208413,Takahira,Pena,93176
256866,Yolla,Marshall,93173
295795,Tomofumi,Budinsky,93161
13186,Kyoichi,Barbanera,93138
15912,Piyawadee,Cichocki,93126
49096,Christoper,Picel,93107
12541,Shih,Nanard,93105
203688,Hairong,Polajnar,93104
210985,Reinhard,Bauknecht,93071
258521,Felicidad,Pintelas,93070
12974,Gift,Frolund,93034
465760,Tristan,Cullers,93023
204104,Patricio,Usdin,93010
290000,Danae,Kading,93002
484748,Shridhar,Orlowska,92989
54164,Sahrah,Penz,92968
259803,Kensyu,Zielinski,92954
260727,Nalini,Billawala,92951
444738,Takahira,Gargeya,92947
413496,Naftaly,Acton,92944
282531,Marko,Laventhal,92934
255308,Francesca,Gronowski,92920
102433,Arch,Peek,92909
200247,Chaoyi,Beznosov,92900
452232,Baziley,Masada,92874
70538,Pascal,Benveniste,92870
435354,Bowen,Bashian,92868
54655,Lenore,Kossowski,92838
480670,Sanjoy,Penz,92833
280717,Aiman,Range,92820
271190,Pradeep,Genther,92764
419000,Subhada,Sluis,92761
253683,Shaunak,Egerstedt,92760
401749,Kiyotoshi,Biron,92757
432233,Goetz,Hitomi,92737
291832,Munenori,Cappelli,92732
488358,Christ,Speer,92726
73644,Eberhardt,Backhouse,92720
441477,Kerryn,Sevcikova,92717
69993,Anwar,Silva,92674
418914,Shahar,Hashii,92661
461835,Serenella,Pell,92654
457973,Shahid,Maksimenko,92653
294501,Claude,Roohalamini,92628
264929,Yuichiro,Esteva,92626
273933,Sreenivas,Parfitt,92626
36445,Sudharsan,Ellozy,92608
242821,Vojin,Baby,92594
235134,Masami,Bratsberg,92556
92313,Xudong,Setia,92546
286878,Sakthirel,Otillio,92531
290428,Supot,Flowers,92505
232599,Haldon,Kropf,92502
226166,Selwyn,Mapelli,92501
244188,Yuping,Lanteri,92497
218732,Odoardo,Suessmith,92493
70180,Renee,Cichocki,92488
419477,Nevio,Constantine,92485
416136,Yonghoan,Reinhard,92472
437806,Valdiodio,Benveniste,92463
413001,Nitsan,Monkewich,92449
59382,Gal,Ducloy,92444
47137,Valter,Marchegay,92421
84051,Kirk,Taubman,92392
470478,Masaru,Azadmanesh,92363
442694,Kazunori,Denti,92346
299245,Ghassan,Valiente,92328
232690,Mikhail,Ranon,92318
89275,Menkae,Jonsson,92317
425015,Bikash,Cannata,92311
47288,Nishit,Ratnaker,92306
437059,Jouni,Mahnke,92292
213039,Oldrich,Docker,92281
92945,Marlo,Tyugu,92271
39143,Flemming,Salverda,92256
459921,Chirstian,Quittner,92255
82458,Barun,Peres,92245
464555,Kellyn,Zastre,92229
46664,Toshimori,Benveniste,92218
90936,Xinglin,Yavatkar,92208
419469,Subhankar,Angot,92207
85111,Sastry,Kavraki,92172
464654,Ohad,Pillow,92168
208638,Khatoun,Zobel,92152
285803,Almudena,Hertweck,92125
83006,Miyeon,Pelz,92113
223770,Jayesh,Perry,92106
238053,Lein,Baca,92059
58231,Marjo,Pauthner,92035
299512,Xudong,Rusmann,92013
474569,Paraskevi,Nyanchama,92009
204757,Kensei,Vigier,92002
475962,Rasiah,Steenbeek,92001
97216,Suvo,Waschkowski,92001
499986,Nathan,Ranta,91988
37312,Arie,Gecsei,91985
402942,Adamantios,Ligten,91981
448119,Nikolaus,Smeets,91960
261878,Kwee,Baja,91958
47177,Harjit,Thimonier,91946
455529,Hidefumi,Rodier,91932
288658,Giordano,Halloran,91922
79442,Yannis,McClurg,91919
412093,Avishai,Engelmann,91917
97466,Valdiodio,Marwedel,91912
498613,Adas,Hofmeyr,91907
485568,Inderjeet,Oskamp,91903
459635,Valeri,Gaughan,91884
215371,Yahiko,Chinin,91866
409120,Panayotis,Sifakis,91847
209577,Shaz,Viele,91815
86853,Dhritiman,Giveon,91809
12803,Gad,Boissier,91789
36085,King,Schwabacher,91786
23151,Ortrun,Lunt,91783
53467,Roddy,Serna,91781
458412,Gilbert,Pearson,91777
433900,Salvador,Varley,91770
201544,Krister,Zaiane,91768
406384,Bernt,Bouloucos,91739
473116,Sadun,Bultermann,91719
454261,Gor,Schaaf,91700
468446,Boguslaw,Morris,91691
288801,Otmar,Birge,91680
423950,Gen,Marrakchi,91669
441955,Sudhanshu,Sommer,91667
476099,Zhenbing,Massonet,91655
240797,Harngdar,Hofmeyr,91637
109560,Ymte,Hoogerwoord,91629
107508,Rajmohan,Mapelli,91591
213843,Chaoyi,Plump,91586
107293,Haldon,Ballarin,91575
292198,Geoff,Gien,91548
454375,Nevio,Paludetto,91546
282096,Zvonko,Zobel,91512
444353,Mansur,Zeilberger,91505
37782,Idoia,Barriga,91486
91506,Lillian,Isaac,91478
247887,Ashish,Preusig,91473
22934,Parviz,Plumb,91442
243131,Paris,Detkin,91441
93197,Arie,Magliocco,91424
13386,Khosrow,Sgarro,91420
91107,Fuqing,Hmelo,91417
412866,Torsten,Lyonns,91402
17063,Anoosh,Thiran,91391
457372,Byong,Pettit,91391
214085,Saeed,Baaz,91386
212780,Yuchang,Asser,91383
214970,Arfst,Belinskaya,91368
407956,Yonghong,Kawashima,91362
423434,Uta,Shackell,91354
462776,Mostafa,Dechter,91329
404351,Rosalyn,Erni,91327
496198,Volkmar,Panangaden,91321
433759,Ugo,Preusig,91298
274197,Geoffrey,Randi,91290
443917,Amstein,Lores,91273
264855,Slavian,Peres,91271
24056,Gladys,Shrader,91264
264390,Abdelghani,Waeselynck,91248
237438,Junichi,Kading,91224
217564,Marie,Schnabel,91217
50369,Shmuel,Gils,91209
440560,Junichi,Mayerwieser,91201
483136,Marjo,Perko,91198
421359,Kristine,Quaggetto,91163
43605,Boalin,Rodite,91158
245412,Val,Erni,91134
56961,Guoxiang,Peyn,91125
109380,Kagan,Luan,91119
234428,Bodh,Perin,91118
221172,DAIDA,Bugaenko,91106
98017,Sachio,Gils,91096
452759,Kazuhide,Uehara,91091
249654,JoAnna,Zizka,91034
416421,Zijian,Strooper,91032
479050,Pintsang,Ishibashi,90967
48407,Theirry,Gischer,90964
200382,Mansur,Pauthner,90953
206241,Kazuhira,Danecki,90951
43249,Bedrich,Vitiello,90940
107474,Taiji,Goodrum,90921
443206,Marco,Oppitz,90903
73036,Syozo,Koyama,90889
434084,Abdelghani,Cappello,90879
221337,Ramachenga,Jiang,90853
206287,Visit,Valette,90845
266224,Munehiko,Terwilliger,90836
21537,Boutros,Mitchem,90832
51400,KayLiang,Luca,90813
291245,Shahab,Lueh,90800
13916,Vidya,Wynblatt,90797
292023,Demos,Rullman,90796
54416,Roddy,Sabnani,90787
39846,Shawna,Riesenhuber,90781
299162,Rutger,Georgakopoulos,90772
54465,Torsten,Bresenham,90756
431281,Sukumar,Guerreiro,90734
36043,Fai,Rubsam,90719
81730,Sergi,DuBourdieux,90708
282909,Demin,Schapire,90692
58132,Zdislav,Kawashimo,90688
93430,Golgen,Baar,90656
61515,Mats,Curless,90646
265681,Marsal,Atrawala,90646
10548,Ramalingam,Gunderson,90631
259127,Masato,Grandbois,90623
421043,Vidya,Piveteau,90600
48092,Shuichi,Furudate,90583
29690,Eran,Fioravanti,90555
78039,Genki,Heemskerk,90551
235524,Jolita,Itzigehl,90544
82392,Susuma,Beznosov,90541
224430,Hidefumi,Siprelle,90522
481775,Gao,Hartvigsen,90519
433004,Shuho,Khamsi,90488
81517,Xiong,Reutenauer,90488
444163,Uriel,Gente,90466
469894,Fumiyo,Pargas,90459
264128,Guangming,Suomi,90452
15474,Gilbert,Plumb,90430
53418,Hiroyasu,Alencar,90427
75738,Guozhong,Muhlberg,90423
100513,Kenroku,Walston,90416
261409,Chiradeep,Cairo,90408
220359,Charmane,Peltason,90400
93130,Kwun,Neimat,90388
245022,Gen,Xiaoshan,90377
410775,Luerbio,Thebaut,90376
422363,Tetsurou,Pramanik,90373
271179,Jaewoo,Murrill,90327
52310,Yongmin,Flexer,90318
19675,Isamu,Herath,90306
206449,Zhonghui,Rajala,90303
404584,Gennady,Kolinko,90299
423897,Jacopo,Baezner,90298
491475,Chiradeep,Kitsuregawa,90268
24888,Murthy,Felder,90268
285524,Anoosh,Gimbel,90267
485696,Susanne,Nitta,90265
11747,Aksel,Kossowski,90239
52511,Zhanqiu,Luca,90236
13179,Moty,Janocha,90233
269697,Candido,Weisert,90215
105683,Sachar,Beeson,90213
68432,Tsuneo,Staylopatis,90197
479004,Mountaz,Copas,90191
292032,Herb,Siprelle,90190
23676,Sham,Openshaw,90184
491028,Deniz,Kaltofen,90179
447267,Kokou,Strehl,90174
60216,Elrique,Lichtner,90170
44178,Jackson,Schmezko,90146
208483,Pradeep,Simkin,90146
490251,Youssef,Zweizig,90127
107807,Narain,Granlund,90121
430685,Sergi,Jenevein,90101
261900,Zongyan,Randt,90098
235775,Chriss,Driscoll,90098
420390,Mostafa,Pillow,90071
407827,Kannan,Steinauer,90068
442883,Yinlin,Vendrig,90068
248979,Bezalel,Pezzoli,90062
425033,Ekawit,Waleschkowski,90036
215247,Tonny,Hellwagner,89998
96911,Hirochika,Jeansoulin,89959
410091,Juichirou,Manderick,89944
276455,Remko,Awdeh,89931
441352,Christoper,Menyhert,89903
448950,Malu,Brodie,89903
239798,Uzi,Trystram,89892
223418,Moni,Markovitch,89878
295483,Deborah,Raoux,89870
288099,Xiaoqiu,Huttel,89866
265134,Ulf,Ventosa,89855
251404,Ipke,Schapire,89837
103898,Saeed,Rosin,89803
17102,Radhika,Garnick,89793
483821,Arunachalam,Fujisaki,89789
468078,Hein,Sudbeck,89788
70782,Abdulah,Ebeling,89767
11506,Rance,Picel,89747
21053,Selwyn,Jakobus,89731
59380,Zvonko,Berendt,89720
95999,Owen,Murillo,89717
89573,Ute,Varley,89684
211688,Hidefumi,Kobuchi,89680
253670,Sachin,Conte,89680
19134,Seongbin,Bakhtari,89672
407732,Yefim,Marsiglia,89670
465321,Fumitaka,Slobodova,89646
414180,Kinh,Dengi,89633
262105,Heeju,Perly,89631
433631,Bodh,Luff,89623
46352,Unal,Zambonelli,89610
428156,Salvador,Dolinsky,89605
36178,Bernt,Valette,89600
299225,Hilari,Lorho,89587
415365,Dipankar,Negoita,89577
439106,Guiseppe,Nivat,89576
404055,Weiru,Belinskaya,89556
424447,Irene,Miake,89547
250799,Badri,Homond,89545
450487,Takushi,Zwicker,89537
240469,Harngdar,Oxenboll,89534
90714,Boriana,Manderick,89519
53860,Nahid,Masamoto,89507
200618,Berna,Panienski,89477
243845,Selwyn,Larfeldt,89464
476564,Zhilian,Brookner,89450
19771,Aral,Katalagarianos,89448
462659,Boguslaw,Erni,89446
220331,Danai,Middleton,89445
473923,Remzi,Hemaspaandra,89395
65028,Yifei,Businaro,89389
249174,Adam,Vernadat,89375
106933,Moni,Rahimi,89360
